@relation PowerConsumption-weka.filters.unsupervised.attribute.Remove-R2

@attribute hour numeric
@attribute amps_avg numeric
@attribute kw_avg numeric

@data
3,0.113167,26.028333
3,0.123667,28.443333
3,0.155167,35.688333
3,0.180833,41.591667
3,0.179667,41.323333
3,0.162167,37.298333
3,0.166833,38.371667
3,0.1155,26.565
3,0.096833,22.271667
3,0.1085,24.955
3,0.086333,19.856667
3,0.1225,28.175
3,0.1225,28.175
3,0.1365,31.395
3,0.134167,30.858333
3,0.1155,26.565
3,0.1225,28.175
3,0.110833,25.491667
3,0.159833,36.761667
3,0.184333,42.396667
3,0.201833,46.421667
3,0.168,38.64
3,0.149333,34.346667
3,0.096833,22.271667
3,0.051333,11.806667
3,0.054833,12.611667
3,0.084,19.32
3,0.117833,27.101667
3,0.151667,34.883333
3,0.159833,36.761667
3,0.156333,35.956667
3,0.168,38.64
3,0.159833,36.761667
3,0.172667,39.713333
3,0.172667,39.713333
3,0.128333,29.516667
3,0.161,37.03
3,0.145833,33.541667
3,0.144667,33.273333
3,0.138833,31.931667
3,0.121333,27.906667
3,0.100333,23.076667
3,0.103833,23.881667
3,0.0945,21.735
3,0.124833,28.711667
3,0.1575,36.225
3,0.2135,49.105
3,0.2205,50.715
3,0.175,40.25
3,0.149333,34.346667
3,0.123667,28.443333
3,0.085167,19.588333
3,0.110833,25.491667
3,0.147,33.81
3,0.137667,31.663333
3,0.148167,34.078333
3,0.1225,28.175
3,0.079333,18.246667
3,0.079333,18.246667
3,0.131833,30.321667
4,0.154,35.42
4,0.187833,43.201667
4,0.1785,41.055
4,0.1575,36.225
4,0.156333,35.956667
4,0.117833,27.101667
4,0.120167,27.638333
4,0.117833,27.101667
4,0.116667,26.833333
4,0.134167,30.858333
4,0.093333,21.466667
4,0.088667,20.393333
4,0.095667,22.003333
4,0.1505,34.615
4,0.151667,34.883333
4,0.151667,34.883333
4,0.119,27.37
4,0.142333,32.736667
4,0.151667,34.883333
4,0.154,35.42
4,0.165667,38.103333
4,0.1365,31.395
4,0.109667,25.223333
4,0.1015,23.345
4,0.082833,19.051667
4,0.1085,24.955
4,0.135333,31.126667
4,0.168,38.64
4,0.162167,37.298333
4,0.163333,37.566667
4,0.096833,22.271667
4,0.085167,19.588333
4,0.120167,27.638333
4,0.124833,28.711667
4,0.155167,35.688333
4,0.170333,39.176667
4,0.161,37.03
4,0.119,27.37
4,0.105,24.15
4,0.0735,16.905
4,0.1085,24.955
4,0.137667,31.663333
4,0.147,33.81
4,0.152833,35.151667
4,0.135333,31.126667
4,0.126,28.98
4,0.141167,32.468333
4,0.128333,29.516667
4,0.133,30.59
4,0.131833,30.321667
4,0.130667,30.053333
4,0.161,37.03
4,0.152833,35.151667
4,0.155167,35.688333
4,0.187833,43.201667
4,0.156333,35.956667
4,0.103833,23.881667
4,0.064167,14.758333
4,0.053667,12.343333
4,0.1015,23.345
5,0.152833,35.151667
